id,name,logo
1,Adelaide Crows,/teamLogo/adelaide.png
2,Brisbane Lions,/teamLogo/brisbanelions.png
3,Carlton,/teamLogo/carlton.png
4,Collingwood,/teamLogo/collingwood.png
5,Essendon,/teamLogo/essendon.png
6,Fremantle,/teamLogo/fremantle.png
7,Geelong Cats,/teamLogo/geelong.png
8,Gold Coast Suns,/teamLogo/goldcoast.png
9,Greater Western Sydney Giants,/teamLogo/greatwesternsydney.png
10,Hawthorn Hawks,/teamLogo/hawthorn.png
11,Melbourne,/teamLogo/melbourne.png
12,North Melbourne,/teamLogo/northmelbourne.png
13,Port Adelaide,/teamLogo/portadelaide.png
14,Richmond Tigers,/teamLogo/richmond.png
15,St Kilda,/teamLogo/stkilda.png
16,Sydney Swans,/teamLogo/sydney.png
17,West Coast Eagles,/teamLogo/westcoast.png
18,Western Bulldogs,/teamLogo/westernbulldogs.png
